"","country_full","Consistency"
"190","Lithuania",26.895558802573
"191","Venezuela",27.3774114882387
"192","Andorra",27.6471747455278
"193","Malaysia",27.8529508809452
"194","Iceland",28.1001078179287
"195","Benin",28.1098786965313
"196","Wales",28.8258949020824
"197","Puerto Rico",28.837140373988
"198","Faroe Islands",29.4873469721551
"199","Indonesia",29.7101154182316
"200","Mauritania",30.4368689831548
"201","Northern Ireland",30.5815269036081
"202","Yugoslavia",31.094518952878
"203","Bosnia and Herzegovina",31.7349841796871
"204","Guinea-Bissau",31.9212471003202
"205","Thailand",31.9759502007421
"206","Cuba",33.1643826677281
"207","Panama",33.6873258358802
"208","Niger",33.6889129186086
"209","Sierra Leone",33.8460624601436
"210","Kuwait",34.3300527404641
"211","Libya",36.923203134369
"212","Curaçao",37.5963780230149
"213","Central African Republic",38.6404596116761
"214","Equatorial Guinea",42.1938180593538
"215","Montenegro",43.645780330326
"216","Cape Verde Islands",44.7144833386557
