"","confederation","AverageRank"
"1","CONMEBOL",35.9870629370629
"2","UEFA",61.0569209134132
"3","CAF",106.446020435601
"4","AFC",125.094634223666
"5","CONCACAF",127.404904801325
"6","OFC",163.790010552234
